,Titulo,Resumen,Autores,Palabra Clave,Fechas
0,Interview with Professor Christoph von Fürer-Haimendorf,"This is the first part of a three-part interview - Professor Christoph von Fürer-Haimendorf was one of the grandfathers of Himalayan anthropology. Alan Macfarlane, one of his last PhD students at the School of Oriental and African Studies and now himself Professor of Anthropological Science at the Univesity of Cambridge, interviewed Christoph von Fürer-Haimendorf in his house in Lode, near Cambridge, in June 1983. The interview was filmed on Sony U-Matic, a large format video tape, which is now obsolete but which has been digitised to DVCam, a robust and secure archival format. - Department of Social Anthropology","Macfarlane, Alan",anthropology - Himalaya - interview - Nepal - fieldwork - Naga,2003-12-17T12:10:39Z - 2003-12-17T12:10:39Z - 2003-12-17T12:10:39Z
1,Interview with Professor Lucy Mair,"Early career and African fieldwork  (12 mins)
Return to the LSE after fieldwork (12 mins)
Raymond Firth, Edmund Leach (5 mins)
Return to the LSE after fieldwork (12 mins)
Raymond Firth, Edmund Leach (5 mins)
Radcliffe-Brown and Malinowski (5 mins)
Teaching Colonial Anthropology, work in Australia and New Guinea (5 mins)
Evans-Pritchard and Gluckman (4 mins)
Anthropology and the Colonial Context (3 mins)
Writing and teaching (4 mins)
Other contemporaries: Freedman, Lienhardt, Fortes…  (6 mins) - Interviewed by Professor Jean La Fontaine and Dr. Alan Macfarlane, 30 July 1983 in her home in London, and filmed by Sarah Harrison. 

[Originally filmed on Low-Band U-matic, transferred to Hi-8, and then to mini-DV tape, then edited on iMovie into a film of c. 62 mins, from about 66 original]

[Some buzz on the original.; the timings of secions are approximate and the headings just a few of the topics covered.]","Macfarlane, Alan - La Fontaine, Jean - Harrison, Sarah",Anthropology - interview - colonialism - Africa - Malinowski,2003-12-17T17:08:09Z - 2003-12-17T17:08:09Z - 2003-12-17T17:08:09Z
2,53 minute video on doing fieldwork,"Narrated by Alan Macfarlane, Professor of Anthropological Science at the University of Cambridge, this 53-minute film takes the viewer through the fieldwork endevaour, from leaving one's own country through to getting back to it after fieldwork. Students of anthropology about to embark on fieldwork are the target audience.","Macfarlane, Alan",fieldwork - anthropology - Nepal - Gurung,2003-12-18T09:17:44Z - 2003-12-18T09:17:44Z - 2003-12-18T09:17:44Z
3,Reflections on fieldwork among the Gurungs of Nepal,"Interview one: in a buffalo shed under the house where we live. 
How did I come to be interested in working among the Gurungs?
Why did I want to be an anthropologist at all?
What were my first impressions of the village and what were the difficulties in my first fieldwork in 1968-70?
What was the main theme of my first fieldwork?
What were the general conclusions from my first study (which led to a Ph.D. and book)?
To what extent was I right in my predictions about the future?
What have been the major changes in the village over the last thirty years? (Economic changes.) 
What have been the major changes in the village over the last thirty years? (Cultural and religious changes.)
Dilmaya and her family; the people we live with
What other groups live in the village?
What does 'the West' look like from the village?
Interview two: sitting below the village with the backdrop of the Annapurna Himalayas. 
Where did the Gurungs originally come from?
What is the long-term history of the Gurungs since they left China?
How did they come to be recruited into the Gurkha regiments?
What was their pattern of work from the l970's, especially as migrant labourers?
What is the nature of their work abroad?
What are the pressures that drive them out of the villages?
Why are they an interesting group to study? (Ancient shamanism meets global capitalism.) 
What really attracts me about the Gurungs as a people to spend my time with? - These reflections on work among the Gurungs were filmed in the autumn of 2000 AD. Alan Macfarlane talked to camera in order to capture some of the reasons why he ended up doing fieldwork in the Himalayas. He reflects on some of the major changes and pressures in the village of Thak since his first visit in 1968. He also gives a brief account of the history of the Gurungs and their current predicament in the face of global capitalism.

This was filmed on one-chip digital video. The clips should be viewed over broadband.","Macfarlane, Alan",fieldwork - Gurung - Nepal - reflections - Himalaya - change,2003-12-19T07:02:12Z - 2003-12-19T07:02:12Z - 2003-12-19T07:02:12Z
4,Reflections on using film in fieldwork,"The history of my early filming and photography on an 8mm film camera, 1968-1987

Filming on video from 1988; the advantages

What should one film? Finding a theme

Filming and editing in the 1990's; the bulk of the film. 

Which kinds of film are effective? The unities of time, place and subject

The value of showing films in the village; what interested the villagers

Using film in teaching; the idea of surrogate fieldwork or 'virtual reality day' 

Making films about how anthropologists actually do fieldwork

Dilmaya's death and memorial ritual in 1995; a watershed in the filming

Interviews wih Dilmaya; the value of extended narrative

The advantages (and disadvantages) of Hi-8 from 1991 and digital film from 1998

Working with television (1999) and the three-chip camera revolution

The potentials of new film technology; combining roles in film production

Some difficulties in the audience; the limitations of narrow and broadcasting

The difficulty of getting ideas across in films

The development of multi-media (videodisc, DVD,WWW) as a way of combining ideas and images

The archival value of anthropological film

How filming can help observation and analysis in anthropology

Some tips on how to make less than awful films

Various anthropological data gathering methods; interviews, census, note taking...

The ethics of fieldwork, especially film making

Returning materials to the societies where they were originated

A brief list of the kind of film I have taken and made - These reflections on filming among the Gurungs were made in the autumn of 2000 A.D. Alan Macfarlane talked into the camera in order to capture some of the types of film he made, the changing technologies, and some tips on how to film in the field. This was filmed on 3-chip digital video. The clips should be viewed over broadband.","Macfarlane, Alan",anthropology - fieldwork - filming - video - Gurung - Nepal,2003-12-19T13:10:35Z - 2003-12-19T13:10:35Z - 2003-12-19T13:10:35Z
5,"Lecture on fieldwork in the Soviet Union, 1988-9","The lecture was given to a Cambridge Audience in the Rayleigh Lecture theatre in the Social and Political Sciences Faculty. Professor Gellner had flown in that morning from America. It was filmed, using a video 8 camera, by Humphrey Hinton. It was chaired by Dr. Alan Macfarlane. The video is unedited. The lecture lasts for about 65 minutes. - Public lecture given in October 1989 by Professor Ernest Gellner. He reflected on his year spent in the Soviet Union on the eve of the collapse of communism.","Gellner, Ernest",Gellner - Russia - perestroika - communism - soviet - union,2004-01-11T22:48:16Z - 2004-01-11T22:48:16Z - 2004-01-11T22:48:16Z
6,CSSA Spring Festival Gala 2004,This is a 1 hour 37 minutes film recording exacts of Chinese Spring Festival Gala held in Corn Exchange Theatre in Cambridge on 16th January 2004. The occasion organiser was CSSA and audience were about 1000 people coming from all over UK in that evening. - This film depicts a new-year celebration typical of Chinese people who study and work abroad.,"CSSA, UK - CSSA, Cambridge - Yan, Xiaoxiao",Chinese - broadband - new - year - Cambridge - spring festival,2004-02-05T02:21:06Z - 2004-02-05T02:21:06Z - 2004-02-05T02:21:06Z
7,Lecsture on ‘Sir J.G.Frazer: Science and Sensibility’,"The Frazer Lecture was given in Cambridge by Godfrey Lienhardt on 5th March 1992, well after he had retired. It was chaired by Dr. Alan Macfarlane and was filmed by Humphrey Hinton, using a video 8 camera. The lecture lasts about 45 minutes. - The Frazer Lecture on the legacy of J.G.Frazer, which Godfrey Lienhardt suggests is greater in the field of literature (through its influence on people like T.S.Elliot in the ‘Waste Land’ than on the science of anthropology.","Lienhardt, Godfrey",Frazer - anthropology - history - Golden - Bough - literature,2004-01-22T17:36:32Z - 2004-01-22T17:36:32Z - 2004-01-22T17:36:32Z
8,Gerry Martin at a Seminar,"Gerry starts the seminar held at King's College, Cambridge, in
April 2003, and then makes several interjections. At the end he summarizes
much of his philosophy of historical change. Filmed by Alan Macfarlane.
Lasts about 42 minutes. - Gerry Martin talks about the development of science and technology
over the last ten thousand years. He illustrates his arguments with charts
and glass instruments.","Martin, Gerry",Glass - technology - Cambridge - Eurotherm - Science,2004-01-30T16:25:32Z - 2004-01-30T16:25:32Z - 2004-01-30T16:25:32Z
9,We were told to go and make 1000 diodes all the same... it has taken 20 years to get there!,"A fifty minute interview by Alan Macfarlane, filmed by Sarah Harrison - Interview of Lionel Caplan, January 2004 concerning his work in Nepal and India and his teaching at the School of Oriental and African Studies in London.","Kelly, M",anthropology - interview - Lionel - Caplan,2004-03-08T16:02:30Z - 2004-03-08T16:02:30Z - 2012-06-21
10,Interview with Pat Caplan,"Interview of Pat Caplan by Alan Macfarlane, filmed by Sarah Harrison, January 2004 - Pat Caplan talks about her early training and fieldwork in Africa and Nepal. She describes the setting up of the Department of Anthropology at Goldsmith's College and the difficulties faced by women anthropologists.","Caplan, Pat",Anthropology - Pat Caplan - Interview,2004-03-23T19:47:48Z - 2004-03-23T19:47:48Z - 2004-03-23T19:47:48Z
11,JPEG File Interchange Format,Standards document describing the JPEG File Interchange Format.,"Hamilton, Eric",JPEG - JFIF - standard,2004-03-30T14:55:33Z - 2004-03-30T14:55:33Z - 2004-03-30
12,The Independent JPEG Group's JPEG software,"This distribution contains the sixth public release of the Independent JPEG Group's free JPEG software.  You are welcome to redistribute this software and
to use it for any purpose, subject to the onditions identified in the README inside this tarfile.",Independent JPEG Group,JPEG - source,2004-03-30T15:01:55Z - 2004-03-30T15:01:55Z - 2004-03-30T15:01:55Z
13,So That Men Are Free,"narrated by Walter Cronkite - NTSC
CBS
1962
27 mins - CBS, So That Men Are Free",McGraw-Hill Films,Vicos Project - Anthropology,2004-03-30T17:12:02Z - 2004-03-30T17:12:02Z - 2004-03-30T17:12:02Z
14,"20020102: Rock (1), panel (12)","Rock Art photograph, Panel 12, rock 1 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']300[/cam][cam element='coordinate' qualifier='inclination']80[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:47:54Z - 2004-05-10T12:47:54Z - 2002-12-19 15:00:00 - 2004-05-10T12:47:54Z
15,"20020104: Rock (1), panel (12)","Rock Art photograph, Panel 12, rock 1 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']300[/cam][cam element='coordinate' qualifier='inclination']80[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:47:57Z - 2004-05-10T12:47:57Z - 2002-12-19 15:00:00 - 2004-05-10T12:47:57Z
16,"20020106: Rock (1), panel (1)","Rock Art photograph, unknown - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']125[/cam][cam element='coordinate' qualifier='inclination']0[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:01Z - 2004-05-10T12:48:01Z - 2002-12-19 15:05:00 - 2004-05-10T12:48:01Z
17,"20020108: Rock (1), panel (1)","Rock Art photograph, Panel 1, glyph - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']125[/cam][cam element='coordinate' qualifier='inclination']0[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:05Z - 2004-05-10T12:48:05Z - 2002-12-19 15:08:00 - 2004-05-10T12:48:05Z
18,"20020110: Rock (1), panel (2)","Rock Art photograph, Panel 2 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']170[/cam][cam element='coordinate' qualifier='inclination']30[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:08Z - 2004-05-10T12:48:08Z - 2002-12-19 15:15:00 - 2004-05-10T12:48:08Z
19,"20020113: Rock (1), panel (1)","Rock Art photograph, Panel 1, glyph - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']125[/cam][cam element='coordinate' qualifier='inclination']0[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:11Z - 2004-05-10T12:48:11Z - 2002-12-19 15:20:00 - 2004-05-10T12:48:11Z
20,"20020116: Rock (2), panel (14)","Rock Art photograph, Rock 2 (14) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']60[/cam][cam element='coordinate' qualifier='inclination']75[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:16Z - 2004-05-10T12:48:16Z - 2002-12-19 15:25:00 - 2004-05-10T12:48:16Z
21,"20020118: Rock (2), panel (14)","Rock Art photograph, unknown - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']60[/cam][cam element='coordinate' qualifier='inclination']75[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:19Z - 2004-05-10T12:48:19Z - 2002-12-19 15:30:00 - 2004-05-10T12:48:19Z
22,"20020120: Rock (2), panel (4)","Rock Art photograph, Panel 4, glyph - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']90[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:23Z - 2004-05-10T12:48:23Z - 2002-12-19 15:40:00 - 2004-05-10T12:48:23Z
23,"20020122: Rock (2), panel (4)","Rock Art photograph, Rock 2, Panel 4 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']90[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:27Z - 2004-05-10T12:48:27Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:27Z
24,"20020124: Rock (2), panel (4)","Rock Art photograph, Rock 2, Panel 4 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']90[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:31Z - 2004-05-10T12:48:31Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:31Z
25,"20020126: Rock (unknown), panel (unknown)","Rock Art photograph, Views from (28) - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:48:36Z - 2004-05-10T12:48:36Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:36Z
26,"20020128: Rock (unknown), panel (unknown)","Rock Art photograph, Views from (28) - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:48:39Z - 2004-05-10T12:48:39Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:39Z
27,"20020202: Rock (1), panel (5)","Rock Art photograph, Panel 5 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:42Z - 2004-05-10T12:48:42Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:42Z
28,"20020204: Rock (1), panel (5)","Rock Art photograph, (15) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:46Z - 2004-05-10T12:48:46Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:46Z
